ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
322	3.1220730565	10000.0	2807076	-0.0195195971	0.03641533851623535	Parallel	
323	3.1510950055	10000.0	8905282	0.0095023519	0.03492307662963867	Parallel	
324	3.1123560535	10000.0	4490863	-0.0292366001	0.032913923263549805	Parallel	
325	3.1481189989	10000.0	2643451	0.0065263453	0.0355379581451416	Parallel	
326	3.1938677739	10000.0	2143648	0.0522751203	0.0462641716003418	Parallel	
327	3.137254902	10000.0	2205126	-0.0043377516	0.03348684310913086	Parallel	
328	3.137254902	10000.0	5811012	-0.0043377516	0.035256147384643555	Parallel	
329	3.1284217112	10000.0	3275541	-0.0131709423	0.042845964431762695	Parallel	
330	3.1343049679	10000.0	1024865	-0.0072876857	0.036356210708618164	Parallel	
331	3.1761156106	10000.0	6194151	0.034522957	0.031022071838378906	Parallel	
332	3.1715826197	10000.0	5925574	0.0299899661	0.03646278381347656	Parallel	
333	3.125	10000.0	4443692	-0.0165926536	0.03602099418640137	Parallel	
334	3.0954960532	10000.0	7995996	-0.0460966003	0.030598878860473633	Parallel	
335	3.1269543465	10000.0	4569080	-0.0146383071	0.03815603256225586	Parallel	
336	3.1565656566	10000.0	3244231	0.014973003	0.03345799446105957	Parallel	
337	3.1407035176	10000.0	5296154	-0.000889136	0.031327009201049805	Parallel	
338	3.1377470976	10000.0	1035596	-0.003845556	0.03211522102355957	Parallel	
339	3.1387319523	10000.0	9503681	-0.0028607013	0.037407875061035156	Parallel	
340	3.1441597233	10000.0	5319907	0.0025670697	0.03119802474975586	Parallel	
341	3.1892840057	10000.0	525854	0.0476913522	0.03241896629333496	Parallel	
342	3.0969340353	10000.0	4314085	-0.0446586183	0.03121495246887207	Parallel	
